0,1,2,3,4,5,6,7,8,9,10,11
한에어제주항공 공동운항,16:55ICN,18:40KIX,"직항, 01시간 45분",피치항공,12:30KIX,14:35ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 390,064원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 391,500원~",,
에어부산,09:45ICN,11:30KIX,"직항, 01시간 45분",15:25KIX,17:40ICN,"직항, 02시간 15분",성인/모든 결제수단,"왕복 391,900원~",,,
에어부산,12:35ICN,14:25KIX,"직항, 01시간 50분",15:25KIX,17:40ICN,"직항, 02시간 15분",성인/모든 결제수단,"왕복 391,900원~",,,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",18:00KIX,19:55ICN,"직항, 01시간 55분",성인/모든 결제수단,"왕복 392,700원~",,,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 393,800원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 394,100원~",,
진에어,15:00ICN,16:40KIX,"직항, 01시간 40분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 394,700원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 396,040원~",,
에어서울,07:15ICN,09:05KIX,"직항, 01시간 50분",09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 396,700원~",,,
에어부산,15:35ICN,17:30KIX,"직항, 01시간 55분",에어서울,09:55KIX,11:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 396,900원~",,
진에어,08:00ICN,09:45KIX,"직항, 01시간 45분",11:05KIX,13:10ICN,"직항, 02시간 05분",성인/모든 결제수단,"왕복 397,200원~",,,
티웨이항공,07:55ICN,09:45KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 397,300원~",,
티웨이항공,12:10ICN,14:00KIX,"직항, 01시간 50분",이스타항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 397,300원~",,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",티웨이항공,10:55KIX,12:55ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 397,700원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",이스타항공,18:00KIX,19:50ICN,"직항, 01시간 50분",성인/모든 결제수단,"왕복 398,300원~",,
티웨이항공,14:40ICN,16:30KIX,"직항, 01시간 50분",제주항공,11:50KIX,13:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 398,800원~",,
제주항공,16:55ICN,18:40KIX,"직항, 01시간 45분",09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 398,900원~",,,
에어서울,15:20ICN,17:00KIX,"직항, 01시간 40분",제주항공,09:50KIX,11:50ICN,"직항, 02시간 00분",성인/모든 결제수단,"왕복 399,200원~",,
