0
오사카 성 천수각
유니버설 스튜디오 재팬
태양의 탑
아키바 카트 오사카
덴포잔 관람차
아사히맥주 스이타공장
사천왕사
도톤보리
오사카 성
해유관
덴포잔 대관람차
쓰텐가쿠
법선사
우메다 스카이빌딩
오사카 성 공원
니시노마루 정원
우메다 공중정원
신우메다 시티
아베노 하루카스
구치나와자카
