숙소,평점
스마일 호텔 프리미엄 오사카 홈마치 (Smile Hotel Premium Osaka Hommachi),8.9
Hotel Resol Trinity Osaka,9
베스트웨스턴 호텔 피노 오사카 신사이바시 (Best Western Hotel Fino Osaka Shinsaibashi),8
호텔 더 록 (HOTEL THE ROCK),8.7
내추럴 핫 스프링 미도스지 호텔 (Natural Hot Spring Midosuji Hotel),8.3
APA HOTEL YODOYABASHIEKIMAE,7.9
이비스 버짓 오사카 우메다 (Ibis budget Osaka Umeda),8.3
카락사 호텔 그란데 신오사카 타워 (karaksa hotel grande Shin-Osaka Tower),8.9
오사카 뷰 호텔 혼마치 (Osaka View Hotel Honmachi),8.5
스테이 오사카 난바 (Stay Osaka Namba),8.3
도톤보리 호텔 (Dotonbori Hotel),8.8
RIHGA Royal Hotel Osaka,8.3
